a,6,No diplomats that the politicians have informed of recent policies have ever caused controversy in the liberal newspapers.,Were the newspapers conservative?,1
b,6,The diplomats that no politicians have informed of recent policies have ever caused controversy in the liberal newspapers.,Were the newspapers conservative?,1
c,6,The diplomats that the politicians haven't informed of recent policies have ever caused controversy in the liberal newspapers.,Were the newspapers conservative?,1
d,6,The diplomats that the politicians have informed of recent policies have ever caused controversy in the liberal newspapers.,Were the newspapers conservative?,1
a,7,No maids that the housewives have thanked for their work have ever caused damage to the delicate clothing.,Was the clothing delicate?,0
b,7,The maids that no housewives have thanked for their work have ever caused damage to the delicate clothing.,Was the clothing delicate?,0
c,7,The maids that the housewives haven't thanked for their work have ever caused damage to the delicate clothing.,Was the clothing delicate?,0
d,7,The maids that the housewives have thanked for their work have ever caused damage to the delicate clothing.,Was the clothing delicate?,0
a,8,No lawyers that the businessmen have hired for legal advice have ever received criticism for lost fraud trials.,Were the trials for fraud?,0
b,8,The lawyers that no businessmen have hired for legal advice have ever received criticism for lost fraud trials.,Were the trials for fraud?,0
c,8,The lawyers that the businessmen haven't hired for legal advice have ever received criticism for lost fraud trials.,Were the trials for fraud?,0
d,8,The lawyers that the businessmen have hired for legal advice have ever received criticism for lost fraud trials.,Were the trials for fraud?,0
a,9,No students that the teachers have punished for bad behavior have ever expected friendliness from the strict principal.,Was the principal lenient?,1
b,9,The students that no teachers have punished for bad behavior have ever expected friendliness from the strict principal.,Was the principal lenient?,1
c,9,The students that the teachers haven't punished for bad behavior have ever expected friendliness from the strict principal.,Was the principal lenient?,1
d,9,The students that the teachers have punished for bad behavior have ever expected friendliness from the strict principal.,Was the principal lenient?,1
a,10,No babysitters that the children have disobeyed during an outing have ever expected gratitude from the disappointed parents.,Were the parents pleased?,1
b,10,The babysitters that no children have disobeyed during an outing have ever expected gratitude from the disappointed parents.,Were the parents pleased?,1
c,10,The babysitters that the children haven't disobeyed during an outing have ever expected gratitude from the disappointed parents.,Were the parents pleased?,1
d,10,The babysitters that the children have disobeyed during an outing have ever expected gratitude from the disappointed parents.,Were the parents pleased?,1
a,11,No actors that the producers have solicited for their films have ever experienced injuries from a dangerous stunt.,Were all of the stunts safe?,1
b,11,The actors that no producers have solicited for their films have ever experienced injuries from a dangerous stunt.,Were all of the stunts safe?,1
c,11,The actors that the producers haven't solicited for their films have ever experienced injuries from a dangerous stunt.,Were all of the stunts safe?,1
d,11,The actors that the producers have solicited for their films have ever experienced injuries from a dangerous stunt.,Were all of the stunts safe?,1
a,12,No teachers that the parents have commended in PTA meetings have ever caused problems with the school administrators.,Were the meetings held by the PTA?,0
b,12,The teachers that no parents have commended in PTA meetings have ever caused problems with the school administrators.,Were the meetings held by the PTA?,0
c,12,The teachers that the parents haven't commended in PTA meetings have ever caused problems with the school administrators.,Were the meetings held by the PTA?,0
d,12,The teachers that the parents have commended in PTA meetings have ever caused problems with the school administrators.,Were the meetings held by the PTA?,0
a,13,No students that the librarians have helped with book reports have ever made progress on the difficult assignment.,Was the assignment easy?,1
b,13,The students that no librarians have helped with book reports have ever made progress on the difficult assignment.,Was the assignment easy?,1
c,13,The students that the librarians haven't helped with book reports have ever made progress on the difficult assignment.,Was the assignment easy?,1
d,13,The students that the librarians have helped with book reports have ever made progress on the difficult assignment.,Was the assignment easy?,1
a,14,No nurses that the doctors have requested for the surgery have ever shown clumsiness in the operating room.,Were the doctors able to request the more adept nurses?,0
b,14,The nurses that no doctors have requested for the surgery have ever shown clumsiness in the operating room.,Were the doctors able to request the more adept nurses?,0
c,14,The nurses that the doctors haven't requested for the surgery have ever shown clumsiness in the operating room.,Were the doctors able to request the more adept nurses?,0
d,14,The nurses that the doctors have requested for the surgery have ever shown clumsiness in the operating room.,Were the doctors able to request the more adept nurses?,0
a,15,No criminals that the policemen have caught in drug raids have ever felt satisfaction from a petty crime.,Were the raids in search of drugs?,0
b,15,The criminals that no policemen have caught in drug raids have ever felt satisfaction from a petty crime.,Were the raids in search of drugs?,0
c,15,The criminals that the policemen haven't caught in drug raids have ever felt satisfaction from a petty crime.,Were the raids in search of drugs?,0
d,15,The criminals that the policemen have caught in drug raids have ever felt satisfaction from a petty crime.,Were the raids in search of drugs?,0
a,16,No employees that the managers have recommended for a raise have ever expressed frustration with the rude customers.,Were all of the customers nice?,1
b,16,The employees that no managers have recommended for a raise have ever expressed frustration with the rude customers.,Were all of the customers nice?,1
c,16,The employees that the managers haven't recommended for a raise have ever expressed frustration with the rude customers.,Were all of the customers nice?,1
d,16,The employees that the managers have recommended for a raise have ever expressed frustration with the rude customers.,Were all of the customers nice?,1
a,17,No accountants that the managers have blamed for company losses have ever seen rises in the quarterly profits.,Were the profits reported quarterly?,0
b,17,The accountants that no managers have blamed for company losses have ever seen rises in the quarterly profits.,Were the profits reported quarterly?,0
c,17,The accountants that the managers haven't blamed for company losses have ever seen rises in the quarterly profits.,Were the profits reported quarterly?,0
d,17,The accountants that the managers have blamed for company losses have ever seen rises in the quarterly profits.,Were the profits reported quarterly?,0
a,18,No candidates that the voters have supported during the election have ever shown friendliness to the rude journalists.,Were the journalists kind?,1
b,18,The candidates that no voters have supported during the election have ever shown friendliness to the rude journalists.,Were the journalists kind?,1
c,18,The candidates that the voters haven't supported during the election have ever shown friendliness to the rude journalists.,Were the journalists kind?,1
d,18,The candidates that the voters have supported during the election have ever shown friendliness to the rude journalists.,Were the journalists kind?,1
a,19,No surgeons that the patients have consulted about the operation have ever expressed dissatisfaction with the hospital staff.,Was it a school that the staff worked at?,1
b,19,The surgeons that no patients have consulted about the operation have ever expressed dissatisfaction with the hospital staff.,Was it a school that the staff worked at?,1
c,19,The surgeons that the patients haven't consulted about the operation have ever expressed dissatisfaction with the hospital staff.,Was it a school that the staff worked at?,1
d,19,The surgeons that the patients have consulted about the operation have ever expressed dissatisfaction with the hospital staff.,Was it a school that the staff worked at?,1
a,20,No suspects that the witnesses have identified in photo line-ups have ever shown nervousness in the court room.,Were the line-ups conducted using photos?,0
b,20,The suspects that no witnesses have identified in photo line-ups have ever shown nervousness in the court room.,Were the line-ups conducted using photos?,0
c,20,The suspects that the witnesses haven't identified in photo line-ups have ever shown nervousness in the court room.,Were the line-ups conducted using photos?,0
d,20,The suspects that the witnesses have identified in photo line-ups have ever shown nervousness in the court room.,Were the line-ups conducted using photos?,0
a,21,No actresses that the moviegoers have praised for their performance have ever caused excitement at a film festival.,Was the festival a music festival?,1
b,21,The actresses that no moviegoers have praised for their performance have ever caused excitement at a film festival.,Was the festival a music festival?,1
c,21,The actresses that the moviegoers haven't praised for their performance have ever caused excitement at a film festival.,Was the festival a music festival?,1
d,21,The actresses that the moviegoers have praised for their performance have ever caused excitement at a film festival.,Was the festival a music festival?,1
a,22,No senators that the billionaires have supported with campaign donations have ever received hostility from online news media.,Was the news available online?,0
b,22,The senators that no billionaires have supported with campaign donations have ever received hostility from online news media.,Was the news available online?,0
c,22,The senators that the billionaires haven't supported with campaign donations have ever received hostility from online news media.,Was the news available online?,0
d,22,The senators that the billionaires have supported with campaign donations have ever received hostility from online news media.,Was the news available online?,0
a,23,No politicians that the journalists have endorsed in the media have ever earned trust from the rural communities.,Was it the journalists who were endorsed?,1
b,23,The politicians that no journalists have endorsed in the media have ever earned trust from the rural communities.,Was it the journalists who were endorsed?,1
c,23,The politicians that the journalists haven't endorsed in the media have ever earned trust from the rural communities.,Was it the journalists who were endorsed?,1
d,23,The politicians that the journalists haven endorsed in the media have ever earned trust from the rural communities.,Were all of the siblings well-mannered?,1
a,24,No teenagers that the parents have trusted with a car have ever expressed impatience with their rambunctious siblings.,Were all of the siblings well-mannered?,1
b,24,The teenagers that no parents have trusted with a car have ever expressed impatience with their rambunctious siblings.,Were all of the siblings well-mannered?,1
c,24,The teenagers that the parents haven't trusted with a car have ever expressed impatience with their rambunctious siblings.,Were all of the siblings well-mannered?,1
d,24,The teenagers that the parents have trusted with a car have ever expressed impatience with their rambunctious siblings.,Were all of the siblings well-mannered?,1
a,25,No survivors that the medics have cured of their injuries have ever felt regret for their military service,Were the injuries suffered in times of war?,0
b,25,The survivors that no medics have cured of their injuries have ever felt regret for their military service,Were the injuries suffered in times of war?,0
c,25,The survivors that the medics haven't cured of their injuries have ever felt regret for their military service,Were the injuries suffered in times of war?,0
d,25,The survivors that the medics have cured of their injuries have ever felt regret for their military service,Were the injuries suffered in times of war?,0
a,26,No players that the coaches have drafted for the team have ever felt nervousness before a championship game.,Was it the coaches who were drafted?,1
b,26,The players that no coaches have drafted for the team have ever felt nervousness before a championship game.,Was it the coaches who were drafted?,1
c,26,The players that the coaches haven't drafted for the team have ever felt nervousness before a championship game.,Was it the coaches who were drafted?,1
d,26,The players that the coaches have drafted for the team have ever felt nervousness before a championship game.,Was it the coaches who were drafted?,1
a,27,No voters that the senators have courted at campaign rallies have ever caused controversy in a major election,Was it the dictators who were intolerant?,0
b,27,The voters that no senators have courted at campaign rallies have ever caused controversy in a major election,Was it the dictators who were intolerant?,0
c,27,The voters that the senators haven't courted at campaign rallies have ever caused controversy in a major election,Was it the dictators who were intolerant?,0
d,27,The voters that the senators have courted at campaign rallies have ever caused controversy in a major election,Was it the dictators who were intolerant?,0
a,28,No professors that the students have visited during office hours have ever experienced tiredness after a long lecture.,Were all of the lectures short?,1
b,28,The professors that no students have visited during office hours have ever experienced tiredness after a long lecture.,Were all of the lectures short?,1
c,28,The professors that the students haven't visited during office hours have ever experienced tiredness after a long lecture.,Were all of the lectures short?,1
d,28,The professors that the students have visited during office hours have ever experienced tiredness after a long lecture.,Were all of the lectures short?,1
a,29,No actors that the judges have nominated for an award have ever experienced derision from the tabloid gossip.,Was it the judges who were nominated?,1
b,29,The actors that no judges have nominated for an award have ever experienced derision from the tabloid gossip.,Was it the judges who were nominated?,1
c,29,The actors that the judges haven't nominated for an award have ever experienced derision from the tabloid gossip.,Was it the judges who were nominated?,1
d,29,The actors that the judges have nominated for an award have ever experienced derision from the tabloid gossip.,Was it the judges who were nominated?,1
a,30,No actresses that the directors have auditioned for the role have ever shown nervousness on a large stage.,Was it the directors who were auditioned?,1
b,30,The actresses that no directors have auditioned for the role have ever shown nervousness on a large stage.,Was it the directors who were auditioned?,1
c,30,The actresses that the directors haven't auditioned for the role have ever shown nervousness on a large stage.,Was it the directors who were auditioned?,1
d,30,The actresses that the directors have auditioned for the role have ever shown nervousness on a large stage.,Was it the directors who were auditioned?,1
a,31,No champions that the competitors have defeated in important races have ever shown humility after a big win.,Were the races important?,0
b,31,The champions that no competitors have defeated in important races have ever shown humility after a big win.,Were the races important?,0
c,31,The champions that the competitors haven't defeated in important races have ever shown humility after a big win.,Were the races important?,0
d,31,The champions that the competitors have defeated in important races have ever shown humility after a big win.,Were the races important?,0
a,32,No painters that the collectors have favored at prestigious exhibitions have ever depicted tranquility with very bright colors.,Were the exhibitions prestigious?,0
b,32,The painters that no collectors have favored at prestigious exhibitions have ever depicted tranquility with very bright colors.,Were the exhibitions prestigious?,0
c,32,The painters that the collectors haven't favored at prestigious exhibitions have ever depicted tranquility with very bright colors.,Were the exhibitions prestigious?,0
d,32,The painters that the collectors have favored at prestigious exhibitions have ever depicted tranquility with very bright colors.,Were the exhibitions prestigious?,0
a,33,No editors that the journalists have insulted in stressful meetings have ever had patience for a missed deadline.,Were the meetings stressful?,0
b,33,The editors that no journalists have insulted in stressful meetings have ever had patience for a missed deadline.,Were the meetings stressful?,0
c,33,The editors that the journalists haven't insulted in stressful meetings have ever had patience for a missed deadline.,Were the meetings stressful?,0
d,33,The editors that the journalists have insulted in stressful meetings have ever had patience for a missed deadline.,Were the meetings stressful?,0
a,34,No teenagers that the teachers have scolded for their chattiness have ever experienced loneliness in the large class.,Was the class small?,1
b,34,The teenagers that no teachers have scolded for their chattiness have ever experienced loneliness in the large class.,Was the class small?,1
c,34,The teenagers that the teachers haven't scolded for their chattiness have ever experienced loneliness in the large class.,Was the class small?,1
d,34,The teenagers that the teachers have scolded for their chattiness have ever experienced loneliness in the large class.,Was the class small?,1
a,35,No students that the professors have tutored on the weekends have ever had trouble in a math class.,Were the classes math classes?,0
b,35,The students that no professors have tutored on the weekends have ever had trouble in a math class.,Were the classes math classes?,0
c,35,The students that the professors haven't tutored on the weekends have ever had trouble in a math class.,Were the classes math classes?,0
d,35,The students that the professors have tutored on the weekends have ever had trouble in a math class.,Were the classes math classes?,0
a,36,No actors that the children have seen in family films have ever shown gore during a fight scene.,Were the films family-oriented?,0
b,36,The actors that no children have seen in family films have ever shown gore during a fight scene.,Were the films family-oriented?,0
c,36,The actors that the children haven't seen in family films have ever shown gore during a fight scene.,Were the films family-oriented?,0
d,36,The actors that the children have seen in family films have ever shown gore during a fight scene.,Were the films family-oriented?,0
